TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,Altitude,Temperature,Pressure,Voltage,Gyro_R,Gyro_P,Gyro_Y,Accel_R,Accel_P,Accel_Y,Mag_R,Mag_p,Mag_Y,Auto_gyro_rotation_rate,GPS_Time,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO
3182,12:58:22,74,F,IDLE,808.03,32.74,91988.77,7.85,-407,288,2704,-3332,-40,18764,855,-28,-1312,0.00,18,58,21,3822.6063,07936.4792,113182DATAPinReleaseON
3182,12:58:24,75,F,IDLE,808.30,32.79,91985.77,7.57,-534,-332,-1871,-4068,-972,12792,835,-36,-1298,0.00,18,58,23,3822.6052,07936.4796,113182DATAPinReleaseON
3182,12:58:26,76,F,IDLE,808.08,32.82,91988.20,7.92,-1451,-2,-1092,-5676,340,18472,765,-90,-1343,0.00,18,58,25,3822.6038,07936.4806,113182DATAPinReleaseON
3182,14:3:14,135,F,IDLE,808.31,37.94,91985.64,7.81,-805,-279,-307,1660,-752,17180,682,-176,-1410,0.00,19,03,14,3822.5663,07936.5125,93182DATAPinReleaseON
3182,14:3:16,136,F,IDLE,808.18,37.99,91987.00,7.64,-844,-161,-117,2184,-1028,17256,680,-163,-1405,0.00,19,03,16,3822.5662,07936.5130,93182DATAPinReleaseON
3182,14:3:18,137,F,IDLE,808.73,38.02,91980.98,7.61,-939,105,48,144,-1156,17320,682,-312,-1381,0.00,19,03,17,3822.5660,07936.5129,93182DATAPinReleaseON
3182,14:14:40,276,F,IDLE,814.77,45.08,91913.88,7.93,-977,-74,52,1224,116,17408,-547,242,-915,40.00,19,14,39,3822.5386,07936.4431,133182DATAOFFON
3182,14:14:42,277,F,IDLE,814.63,45.08,91915.42,7.92,-1039,-60,-64,1156,156,17428,-552,280,-910,0.00,19,14,41,3822.5386,07936.4431,133182DATAOFFON
3182,14:14:44,278,F,IDLE,814.93,45.08,91912.05,7.75,-1002,-36,76,1060,12,17356,-557,245,-915,0.00,19,14,43,3822.5387,07936.4431,133182DATAOFFON
3182,19:15:27,292,F,IDLE,815.31,44.93,91907.92,7.77,-967,-138,30,1520,508,17564,-560,231,-893,0.00,19,15,24,3822.5393,07936.4433,123182DATA19:15:02ON
3182,19:15:29,293,F,IDLE,815.49,44.93,91905.86,7.97,-1073,-57,-154,1248,100,17340,-570,252,-912,0.00,19,15,25,3822.5389,07936.4431,123182DATA19:15:02ON
3182,19:15:31,294,F,IDLE,815.12,44.93,91909.98,7.81,-940,-48,314,1032,-32,17364,-560,272,-893,0.00,19,15,27,3822.5387,07936.4430,123182DATA19:15:02ON
3182,19:16:29,307,F,IDLE,0.18,44.61,91909.34,7.60,-993,-84,-45,1172,104,17288,-240,300,-877,0.00,19,16,25,3822.5386,07936.4424,133182DATAONON
3182,19:16:29,308,F,IDLE,0.35,44.62,91907.39,7.87,-987,-79,-23,1032,180,17360,-237,275,-877,0.00,19,16,26,3822.5385,07936.4425,103182DATAONON
3182,19:16:32,309,F,IDLE,0.15,44.62,91909.63,7.75,-1006,-54,35,1016,80,17440,-240,267,-893,0.00,19,16,29,3822.5384,07936.4427,103182DATAONON
3182,19:16:49,313,F,IDLE,0.38,44.51,91907.14,7.85,-1013,-69,-9,1184,140,17360,-597,257,-950,40.00,19,16,45,3822.5386,07936.4416,103182DATAOFFON
3182,19:16:50,314,F,IDLE,0.30,44.51,91907.98,7.81,-1006,-74,22,1200,128,17368,-597,245,-952,0.00,19,16,47,3822.5386,07936.4416,103182DATAOFFON
3182,19:16:52,315,F,IDLE,0.41,44.51,91906.80,7.95,-976,-86,-2,992,120,17288,-590,282,-950,0.00,19,16,49,3822.5387,07936.4417,103182DATAOFFON
3182,19:20:2,354,F,IDLE,0.50,43.73,91905.80,4.96,-1090,-210,2030,844,156,17332,-557,203,-836,0.00,19,19,59,3822.5368,07936.4432,103182DATAOFFON
3182,19:20:4,355,F,IDLE,0.34,43.73,91907.58,4.97,-1037,-75,315,1520,-464,17428,-502,252,-822,0.00,19,20,01,3822.5368,07936.4433,123182DATAOFFON
3182,19:20:6,356,F,IDLE,0.38,43.73,91907.11,4.89,-959,-21,-222,1072,192,17320,-492,295,-827,0.00,19,20,02,3822.5368,07936.4432,123182DATAOFFON
3182,19:26:47,437,F,IDLE,2.39,42.02,91884.77,4.92,-1024,-60,26,992,84,17224,-545,168,-766,0.00,19,26,43,3822.5363,07936.4415,133182DATAOFFON
3182,19:26:49,438,F,IDLE,2.37,42.03,91884.98,4.94,-960,-109,-110,1108,20,17500,-550,188,-763,0.00,19,26,45,3822.5364,07936.4414,133182DATAOFFON
3182,19:26:50,439,F,IDLE,2.60,42.03,91882.50,4.94,-952,-184,-108,992,84,17340,-555,137,-761,0.00,19,26,47,3822.5363,07936.4415,123182DATAOFFON
3182,19:29:25,467,F,ASCENDING,112.32,41.34,90671.55,9.66,-616,412,32767,-2192,-2472,32767,570,-610,-1021,0.00,19,29,21,3822.5381,07936.4421,123182READYONON
3182,19:29:27,468,F,ASCENDING,270.87,41.34,88944.39,8.51,1336,-749,32767,-4152,-404,-11760,-352,-275,-950,0.00,19,29,23,3822.5377,07936.4438,123182READYONON
3182,19:29:29,469,F,ASCENDING,367.77,41.34,87902.09,9.15,-730,-831,32767,-2420,932,-4988,1022,-307,-922,0.00,19,29,25,3822.5318,07936.4611,123182READYONON
3182,19:29:30,470,F,ASCENDING,430.06,41.34,87237.33,9.45,-94,-94,22932,-708,28,-1604,747,-775,-915,0.00,19,29,27,,,123182READYONON
3182,19:29:32,471,F,ASCENDING,466.78,41.33,86847.28,9.47,-417,-1897,14265,272,-96,72,900,920,-478,0.00,19,29,29,3822.4495,07936.5049,123182READYONON
3182,19:29:34,472,F,ASCENDING,479.93,41.33,86707.98,9.49,-2045,4490,8674,-352,-96,264,277,-1648,176,0.00,19,29,30,3822.4409,07936.4964,123182READYONON
3182,19:29:35,473,F,ASCENDING,470.74,41.29,86805.29,10.93,-30706,-27824,31816,-968,-16,-20444,752,-1222,1730,0.00,19,29,32,3822.5840,07936.4668,123182READYONON
3182,19:29:37,474,F,ASCENDING,450.37,41.19,87021.47,7.76,8523,-32768,-32768,-1348,-7976,-15668,977,-48,1862,0.00,19,29,34,3822.5793,07936.4725,123182READYONON
3182,19:29:39,475,F,ASCENDING,431.19,41.13,87225.31,8.94,32767,7045,-32768,-1316,-3768,-24356,307,351,1793,0.00,19,29,35,3822.5727,07936.4710,123182READYONON
3182,19:29:41,476,F,DESCENDING,422.51,41.16,87317.70,9.45,1625,-245,-32768,-6168,356,-16404,-50,-801,1910,0.00,19,29,37,3822.5740,07936.4658,123182READYONON
